Time Bucket (Europe/Budapest),bureau realmont-Mains_A (kWhs),bureau realmont-Mains_B (kWhs),bureau realmont-Mains_C (kWhs),bureau realmont-Air Conditioner-clim commun (kWhs),bureau realmont-Room/Multi-use Circuit-bureau 4 (kWhs),bureau realmont-Room/Multi-use Circuit-bureau 3 chauffage cuisine fond (kWhs),bureau realmont-Room/Multi-use Circuit-commun (kWhs),bureau realmont-Room/Multi-use Circuit-bureau 1 Cécile et bureau 2 et cuisine fond chauffage et frigo prise micro-onde (kWhs),bureau realmont-Circuit_6 (kWhs),bureau realmont-Circuit_7 (kWhs),bureau realmont-Circuit_8 (kWhs),bureau realmont-Circuit_9 (kWhs),bureau realmont-Circuit_10 (kWhs),bureau realmont-Circuit_11 (kWhs),bureau realmont-Circuit_12 (kWhs),bureau realmont-Circuit_13 (kWhs),bureau realmont-Circuit_14 (kWhs),bureau realmont-Circuit_15 (kWhs),bureau realmont-Circuit_16 (kWhs)
11/01/2024 00:00:00,3.4591,3.5130,No CT,0.1242,0.0000,2.5809,0.4827,0.1847,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT
11/02/2024 00:00:00,4.8840,4.9521,No CT,0.1231,0.0000,4.0263,0.4783,0.1753,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT
11/03/2024 00:00:00,4.7420,4.8086,No CT,0.1244,0.0000,3.8837,0.4779,0.1756,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT
11/04/2024 00:00:00,5.5907,5.6666,No CT,0.1231,0.0000,3.3576,0.4924,1.5473,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT
11/05/2024 00:00:00,4.9579,5.0273,No CT,0.1256,0.0000,2.7106,0.5006,1.5506,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT
11/06/2024 00:00:00,4.5404,4.6043,No CT,0.1213,0.0001,2.6063,0.4935,1.2444,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT
11/07/2024 00:00:00,5.1422,5.2130,No CT,0.2187,0.0492,2.9570,0.5504,1.5708,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT
11/08/2024 00:00:00,5.8219,5.8994,No CT,0.1234,0.0224,3.6192,0.5593,1.4451,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT
11/09/2024 00:00:00,5.3405,5.4099,No CT,0.1202,0.0000,4.5492,0.4733,0.1726,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT
11/10/2024 00:00:00,5.2744,5.3436,No CT,0.1211,0.0000,4.4846,0.4720,0.1725,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT
11/11/2024 00:00:00,5.9262,6.0021,No CT,0.1245,0.0000,5.1392,0.4724,0.1712,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT
11/12/2024 00:00:00,8.2747,8.3744,No CT,0.1245,0.0000,5.9951,0.5055,1.6091,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT
11/13/2024 00:00:00,17.7319,17.9283,No CT,0.1197,0.0000,7.6820,5.7660,4.0742,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT
11/14/2024 00:00:00,24.0851,24.3464,No CT,4.9633,0.0001,8.6640,6.1129,4.1220,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT
11/15/2024 00:00:00,29.3983,29.7056,No CT,6.4758,0.0001,10.8874,7.6925,4.0875,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT
11/16/2024 00:00:00,32.1377,32.4727,No CT,6.2866,0.0000,12.8625,10.0830,2.6280,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT
11/17/2024 00:00:00,31.1787,31.5042,No CT,6.2062,0.0000,12.3938,9.7826,2.5333,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT
11/18/2024 00:00:00,28.5284,28.8309,No CT,5.4087,0.0001,10.3056,7.7052,4.8439,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT
11/19/2024 00:00:00,24.9312,25.1979,No CT,4.4741,0.0021,9.7592,6.0603,4.3612,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT
11/20/2024 00:00:00,21.4777,21.7061,No CT,4.0340,0.0000,9.0931,4.6342,3.4407,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT
11/21/2024 00:00:00,23.0980,23.3464,No CT,5.1300,0.0000,8.9442,4.8126,3.9111,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT
11/22/2024 00:00:00,25.0398,25.2978,No CT,6.4065,0.0046,10.3760,4.6716,3.3801,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT
11/23/2024 00:00:00,32.9989,33.3471,No CT,7.5445,0.0000,14.1299,9.3463,1.6898,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT
11/24/2024 00:00:00,27.3729,27.6706,No CT,5.6347,0.0000,11.8800,8.2558,1.3106,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT
11/25/2024 00:00:00,18.8484,19.0630,No CT,3.1055,0.0000,7.3924,3.8613,4.1830,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT
11/26/2024 00:00:00,16.9391,17.1294,No CT,3.6410,0.0000,7.1220,2.2537,3.6486,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT
